variant,n_cands,n_trades,cagr,sharpe,dd_pct,alpha_ann,outperf_ann
book_only_baseline,51508,1263,11.194949182992753,0.4338851455883973,63.07730232603138,3.3562686046242143,-0.28787214023775487
R15a_mom4w_pos,39389,1242,10.406974510098221,0.403304764877524,63.50964919237841,2.9554962182548437,-1.0758468131322863
R15b_mom12w_pos,42120,1159,11.861965588039268,0.4542546120194676,60.78533710842614,4.087560471634162,0.37914426480876173
R15c_mom26w_pos,41164,1137,13.023440251499686,0.5067349371299134,61.8491302114046,5.301623822773249,1.5406189282691773
R15d_mom4w_5pct,26070,1148,6.54666816448406,0.26126471571426674,67.73278152984406,-0.9860953702467877,-4.936153158746448
R15e_mom12w_5pct,35277,1142,10.945198462435691,0.4208486804463544,65.66694266942754,3.0318297989479137,-0.5376228607948175
R15f_mom26w_5pct,35123,1109,7.483750385319543,0.2980599716322842,66.61413099703428,-0.10498264533209686,-3.9990709379109646
R16a_vol_surge_15x,20803,1196,6.684538843105892,0.26411383620733475,73.82048232162647,-0.5162188571039439,-4.798282480124616
R16b_close_top30pct,18801,1195,8.702835930848929,0.350531650960944,58.95097034444652,1.8689455560465096,-2.7799853923815787
R16c_body_strong_50pct,18278,1237,13.281610125949307,0.49818837503708185,62.042687259956395,5.643726107311251,1.7987888027187982
R16d_combo3_AND,4594,1187,5.430089680242767,0.21768249973898793,58.920282683619874,-0.8574789306788292,-6.052731642987741
