variant,book_weight,peak_label,peak_krw,n_trades,cagr,sharpe,sortino,calmar,dd_pct,alpha_ann,kospi_ann,outperf_ann,beta
book_only_baseline,1.0,n/a,0,1263,11.194949182992753,0.4338851455883973,0.6105566375199464,0.17747983458659594,63.07730232603138,3.3562686046242143,11.482821323230507,-0.28787214023775487,0.7551818403496322
bw0.6_peak1000억,0.6,1000억,100000000000.0,1283,13.348738812669335,0.47530838729178365,0.6583454580643445,0.22523709562522615,59.26527677696755,6.417011845979186,11.482821323230507,1.8659174894388286,0.7622225134874551
bw0.6_peak2000억,0.6,2000억,200000000000.0,1354,7.400906154896902,0.28873804573955386,0.41173617369093635,0.11402035809484319,64.90863805865932,0.7274985509409928,11.482821323230507,-4.081915168333605,0.7431236768835117
bw0.6_peak5480억,0.6,5480억,548000000000.0,1369,2.1331091293101734,0.07730080203597077,0.09467563823784737,0.0297684294437858,71.65675748323575,-5.264150384596455,11.482821323230507,-9.349712193920334,0.7287850324104561
bw0.6_peak7500억,0.6,7500억,750000000000.0,1365,8.706947218272987,0.34271058560148465,0.45472362912702935,0.15547448702866076,56.00241804732834,1.3295655997127225,11.482821323230507,-2.775874104957521,0.7328652206205779
bw0.6_peak1조,0.6,1조,1000000000000.0,1466,3.4382702813964494,0.13511028381272644,0.1856094569957067,0.06337574677207729,54.252146231298006,-4.019875897976603,11.482821323230507,-8.044551041834058,0.7497721302715004
bw0.7_peak1000억,0.7,1000억,100000000000.0,1256,14.16547445982661,0.5013489472239678,0.6878988642892949,0.2412386118286209,58.71976443758493,7.2056800448794975,11.482821323230507,2.6826531365961026,0.7494803824485377
bw0.7_peak2000억,0.7,2000억,200000000000.0,1318,11.951111323403696,0.4315115697080411,0.6492247646670466,0.17786013036371168,67.19387475408062,5.062474508694051,11.482821323230507,0.4682900001731882,0.7675262135720785
bw0.7_peak5480억,0.7,5480억,548000000000.0,1302,4.315745699534479,0.17480810373448868,0.2221887799111249,0.07356783030755651,58.663490298574,-2.8866937274636837,11.482821323230507,-7.167075623696029,0.747423401692582
bw0.7_peak7500억,0.7,7500억,750000000000.0,1333,7.519434996876551,0.2978816880712615,0.40875539393063504,0.13912728466981567,54.04716274541027,0.2367413894425985,11.482821323230507,-3.963386326353957,0.7250126964588515
bw0.7_peak1조,0.7,1조,1000000000000.0,1409,3.917749314174257,0.15549952234404615,0.21319590317754583,0.07235834753841218,54.14370901843052,-3.5235502856560386,11.482821323230507,-7.565072009056251,0.7521006211961615
bw0.8_peak1000억,0.8,1000억,100000000000.0,1226,15.62098335196007,0.537971497480348,0.7533532088201861,0.2605165577294039,59.96157590944926,8.48185369821357,11.482821323230507,4.138162028729564,0.7730861638051533
bw0.8_peak2000억,0.8,2000억,200000000000.0,1293,11.480424240690246,0.418577843729971,0.6029734530419646,0.16974307372549388,67.63412484951361,4.701519742315894,11.482821323230507,-0.002397082540261941,0.754901661422639
bw0.8_peak5480억,0.8,5480억,548000000000.0,1286,3.1644075361343615,0.1318960370360226,0.16536344153280008,0.04874068947600252,64.92332320601164,-3.908116770533767,11.482821323230507,-8.318413787096146,0.7470690447476698
bw0.8_peak7500억,0.8,7500억,750000000000.0,1258,6.1329465673874095,0.24392444910410557,0.33116469426598466,0.11000408625892845,55.751988639327756,-1.0988037491621943,11.482821323230507,-5.349874755843098,0.7381382497633423
bw0.8_peak1조,0.8,1조,1000000000000.0,1325,5.3731066745755784,0.21575741133028917,0.28923475580631597,0.09373741688546054,57.32083145774195,-1.8856061852941597,11.482821323230507,-6.109714648654929,0.7623471026296278
bw0.9_peak1000억,0.9,1000억,100000000000.0,1232,10.972572861915996,0.4060375483074511,0.5631834733557257,0.1871993211246675,58.61438383426982,3.723903634788936,11.482821323230507,-0.5102484613145108,0.7879975802575597
bw0.9_peak2000억,0.9,2000억,200000000000.0,1291,9.870526381061516,0.37076751583749273,0.5274711229311694,0.1496919165737136,65.93894050518699,3.0808417801493344,11.482821323230507,-1.6122949421689903,0.7436057647223938
bw0.9_peak5480억,0.9,5480억,548000000000.0,1233,4.591832823334618,0.18924796893267565,0.2388843483801473,0.07072356367229121,64.92649104351699,-2.742870791054119,11.482821323230507,-6.890988499895889,0.7878042029146866
bw0.9_peak7500억,0.9,7500억,750000000000.0,1242,6.448561551297427,0.2548979549579924,0.34967941952158355,0.1044206828271934,61.755596465206054,-0.6688073644659578,11.482821323230507,-5.034259771933081,0.7502218011402751
bw0.9_peak1조,0.9,1조,1000000000000.0,1244,8.320319552875022,0.3226323073811042,0.4391194914067719,0.16286625360141693,51.086823506343826,0.9730336789176796,11.482821323230507,-3.162501770355486,0.7683029804524554
