ticker,sector,industry
095570.KS,,산업용 기계 및 장비 임대업
006840.KS,,기타 금융업
027410.KS,,기타 금융업
282330.KS,,종합 소매업
138930.KS,,기타 금융업
001460.KS,,봉제의복 제조업
001465.KS,,
001040.KS,,기타 금융업
079160.KS,,"영화, 비디오물, 방송프로그램 제작 및 배급업"
00104K.KS,,
000120.KS,,도로 화물 운송업
011150.KS,,기타 식품 제조업
011155.KS,,
001045.KS,,
097950.KS,,기타 식품 제조업
097955.KS,,
000480.KS,,"내화, 비내화 요업제품 제조업"
000590.KS,,기타 금융업
012030.KS,,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
005830.KS,,보험업
016610.KS,,금융 지원 서비스업
000990.KS,,반도체 제조업
000300.KS,,자동차 신품 부품 제조업
001530.KS,,상품 중개업
015590.KS,,일반 목적용 기계 제조업
000210.KS,,기초 화학물질 제조업
000215.KS,,
375500.KS,,토목 건설업
37550L.KS,,
37550K.KS,,
007340.KS,,일차전지 및 이차전지 제조업
004840.KS,,고무제품 제조업
155660.KS,,1차 비철금속 제조업
069730.KS,,1차 철강 제조업
017860.KS,,기타 화학제품 제조업
092780.KS,,자동차용 엔진 및 자동차 제조업
017940.KS,,기타 전문 도매업
365550.KS,,부동산 임대 및 공급업
383220.KS,,봉제의복 제조업
007700.KS,,기타 금융업
114090.KS,,유원지 및 기타 오락관련 서비스업
078930.KS,,기타 금융업
006360.KS,,건물 건설업
001250.KS,,상품 종합 도매업
007070.KS,,종합 소매업
078935.KS,,
499790.KS,,기타 금융업
012630.KS,,기타 금융업
039570.KS,,전기 및 통신 공사업
089470.KS,,기타 화학제품 제조업
267270.KS,,특수 목적용 기계 제조업
009540.KS,,기타 금융업
267250.KS,,기타 금융업
443060.KS,,"건축기술, 엔지니어링 및 관련 기술 서비스업"
071970.KS,,일반 목적용 기계 제조업
322000.KS,,반도체 제조업
267260.KS,,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
329180.KS,,선박 및 보트 건조업
097230.KS,,토목 건설업
014790.KS,,토목 건설업
003580.KS,,종합 소매업
204320.KS,,자동차 신품 부품 제조업
060980.KS,,기타 금융업
011200.KS,,해상 운송업
035000.KS,,광고업
002460.KS,,건물 건설업
487570.KS,,기타 금융업
298050.KS,,화학섬유 제조업
015360.KS,,회사 본부 및 경영 컨설팅 서비스업
294870.KS,,건물 건설업
175330.KS,,기타 금융업
204210.KS,,부동산 임대 및 공급업
234080.KS,,의약품 제조업
001060.KS,,의약품 제조업
001067.KS,,
001065.KS,,
096760.KS,,기타 금융업
008970.KS,,1차 철강 제조업
105560.KS,,기타 금융업
415640.KS,,신탁업 및 집합투자업
432320.KS,,부동산 임대 및 공급업
002380.KS,,기타 화학제품 제조업
344820.KS,,유리 및 유리제품 제조업
009070.KS,,도로 화물 운송업
009440.KS,,기타 금융업
119650.KS,,일반 목적용 기계 제조업
092220.KS,,반도체 제조업
003620.KS,,자동차용 엔진 및 자동차 제조업
016380.KS,,1차 철강 제조업
001390.KS,,기초 화학물질 제조업
001940.KS,,1차 철강 제조업
025000.KS,,기초 화학물질 제조업
092230.KS,,기초 화학물질 제조업
000040.KS,,그외 기타 운송장비 제조업
044450.KS,,해상 운송업
030200.KS,,전기 통신업
