ticker,market_cap_krw
000020.KS,163700000000
000040.KS,30300000000
000050.KS,243700000000
000070.KS,446400000000
000080.KS,1138300000000
000100.KS,6786000000000
000120.KS,1957300000000
000140.KS,197500000000
000150.KS,27772400000000
000180.KS,81500000000
000210.KS,1177700000000
000220.KS,64900000000
000230.KS,92200000000
000240.KS,2278400000000
000250.KQ,8245300000000
000270.KS,64301000000000
000300.KS,174000000000
000320.KS,250800000000
000370.KS,791500000000
000390.KS,197800000000
000430.KS,284900000000
000440.KQ,108200000000
000480.KS,224400000000
000490.KS,254800000000
000500.KS,6377400000000
000520.KS,161600000000
000590.KS,89000000000
000640.KS,610000000000
000660.KS,1598591400000000
000670.KS,959200000000
000680.KS,290400000000
000700.KS,142200000000
000720.KS,15990700000000
000760.KS,40500000000
000810.KS,25761600000000
000850.KS,79800000000
000860.KS,182100000000
000880.KS,10639600000000
000890.KS,39300000000
000910.KS,57900000000
000950.KS,45500000000
000970.KS,156000000000
000990.KS,8787900000000
001020.KS,120000000000
001040.KS,4939700000000
001060.KS,681100000000
001070.KS,31500000000
001080.KS,207500000000
001120.KS,1666700000000
001130.KS,198100000000
001200.KS,479000000000
001210.KS,40100000000
001230.KS,362500000000
001250.KS,286000000000
001260.KS,82700000000
001270.KS,647100000000
001290.KS,117700000000
001340.KS,265800000000
001360.KS,152500000000
001380.KS,40300000000
001390.KS,332100000000
001430.KS,2191200000000
001440.KS,9711400000000
001450.KS,3073200000000
001460.KS,250500000000
001470.KS,79700000000
001500.KS,620800000000
001510.KS,844200000000
001520.KS,148900000000
001530.KS,524100000000
001540.KQ,147100000000
001560.KS,75800000000
001570.KS,633300000000
001620.KS,55900000000
001630.KS,227400000000
001680.KS,662800000000
001720.KS,2937800000000
001740.KS,2282800000000
001750.KS,302900000000
001780.KS,228500000000
001790.KS,226800000000
001800.KS,1563000000000
001810.KQ,28500000000
001820.KS,1308700000000
001940.KS,324600000000
002020.KS,830000000000
002030.KS,436500000000
002070.KS,20700000000
002100.KS,178000000000
002140.KS,55700000000
002150.KS,195900000000
002170.KS,165000000000
002200.KS,90300000000
002220.KS,138300000000
002230.KQ,135600000000
002240.KS,561600000000
002310.KS,313600000000
002320.KS,268300000000
002350.KS,630900000000
002360.KS,26200000000
002380.KS,4872200000000
002390.KS,119200000000
002410.KS,53200000000
002420.KS,36100000000
002450.KS,113700000000
002460.KS,116800000000
002600.KS,84500000000
002620.KS,132900000000
002630.KS,57300000000
002680.KQ,16300000000
002700.KS,88400000000
002710.KS,425400000000
002720.KS,82000000000
002780.KS,150400000000
002790.KS,1758500000000
002800.KQ,75900000000
002810.KS,392400000000
002820.KS,28100000000
002840.KS,548600000000
002870.KS,37300000000
002880.KS,38700000000
002900.KS,302200000000
002920.KS,46300000000
002990.KS,151100000000
003000.KS,502200000000
003010.KS,71700000000
003030.KS,701200000000
003060.KS,48400000000
003070.KS,244100000000
003080.KS,47600000000
003090.KS,1151200000000
003100.KQ,140600000000
003160.KS,854700000000
003200.KS,244100000000
003220.KS,202100000000
003230.KS,9318300000000
003240.KS,1114500000000
003280.KS,542200000000
003300.KS,507500000000
003310.KQ,91800000000
003380.KQ,1288100000000
003470.KS,1087800000000
003480.KS,155600000000
003490.KS,9886700000000
003530.KS,1360200000000
003540.KS,1570100000000
003550.KS,18229000000000
003570.KS,1546300000000
003580.KS,89400000000
003610.KS,188300000000
003620.KS,699200000000
003650.KS,217300000000
003670.KS,20368700000000
003680.KS,29400000000
003690.KS,2422800000000
003720.KS,377400000000
003780.KS,66400000000
003800.KQ,352700000000
003850.KS,797800000000
003920.KS,282600000000
003960.KS,260300000000
004000.KS,1354500000000
004020.KS,5524700000000
004060.KS,64100000000
004080.KS,130200000000
004090.KS,165400000000
004100.KS,106800000000
004140.KS,102400000000
004150.KS,169600000000
004170.KS,4977600000000
004250.KS,118200000000
004270.KS,25400000000
004360.KS,262800000000
004370.KS,2341800000000
004380.KS,254600000000
004410.KS,44200000000
004430.KS,268600000000
004440.KS,71300000000
004450.KS,57600000000
004490.KS,780300000000
004540.KS,65900000000
004560.KS,235200000000
004590.KQ,100100000000
004650.KQ,86900000000
004690.KS,452300000000
004700.KS,409600000000
004710.KS,453700000000
004720.KS,77700000000
004770.KS,57200000000
004800.KS,3389900000000
004830.KS,64800000000
004840.KS,92400000000
004870.KS,35500000000
004890.KS,93000000000
004910.KS,49300000000
004920.KS,52100000000
004960.KS,141500000000
004970.KS,146900000000
004980.KS,221900000000
004990.KS,2546400000000
005010.KS,300600000000
005090.KS,723300000000
005110.KS,26500000000
005160.KQ,145400000000
005180.KS,660000000000
005250.KS,684700000000
005290.KQ,3093900000000
005300.KS,1024400000000
005320.KS,37300000000
005360.KS,27600000000
005380.KS,139440000000000
005420.KS,546200000000
005430.KS,279600000000
005440.KS,2065700000000
005490.KS,33558800000000
005500.KS,298400000000
005610.KS,368000000000
005670.KQ,63200000000
005680.KS,303600000000
005710.KQ,224400000000
005720.KS,347300000000
005740.KS,95600000000
005750.KS,80600000000
005800.KS,127100000000
005810.KS,581000000000
005820.KS,34200000000
005830.KS,9464800000000
005850.KS,3372200000000
005860.KQ,119800000000
005880.KS,774600000000
005930.KS,1794807500000000
005940.KS,11100100000000
005950.KS,419400000000
005960.KS,162500000000
005990.KQ,170100000000
006040.KS,1575800000000
006060.KS,158200000000
006110.KS,1238600000000
006120.KS,888100000000
006200.KS,27400000000
006220.KS,402200000000
