feature,gain,split
earnings_growth_yoy_rk,132.84754092991352,55
revenue_growth_yoy_rk,95.76877921819687,42
vol_60_rk,11.035923033952713,24
px_to_sma50_rk,7.20654296875,18
vol_20_rk,5.080871038138866,17
sma50_to_sma200_rk,3.498834028840065,5
dd_252_rk,3.4714079946279526,11
current_ratio_rk,3.114724025130272,12
rev_5d_rk,3.1007200181484222,12
roe_ttm_rk,3.01467302441597,7
mom_12m_rk,2.4943449646234512,6
net_margin_rk,2.1691749542951584,6
log_market_cap_rk,2.111239016056061,8
mom_1m_rk,1.9106170237064362,9
mom_6m_rk,1.759210005402565,6
liab_to_assets_rk,1.752966970205307,5
mom_12_1_rk,1.5749070048332214,7
cash_ratio_rk,1.368836984038353,7
macd_hist_rk,1.2168589979410172,7
gross_margin_rk,1.1937509924173355,6
op_margin_rk,1.0661179721355438,5
rsi_14_rk,1.050736978650093,4
mom_3m_rk,0.6243079900741577,4
asset_turnover_rk,0.5792059898376465,3
pb_rk,0.5580529868602753,2
px_to_sma200_rk,0.5325050055980682,3
roa_ttm_rk,0.5050269961357117,2
debt_to_equity_rk,0.3118550032377243,2
pe_rk,0.3061069995164871,2
ev_to_revenue_rk,0.261571004986763,2
fcf_yield_rk,0.1749819964170456,1
ev_to_ebitda_proxy_rk,0.0,0
ps_rk,0.0,0
