ticker,score,top_pattern,top_pattern_tf,daily_n,daily_win,daily_cagr,daily_bh_cagr,daily_alpha,daily_pyramid,daily_scaleout,daily_total,weekly_n,weekly_win,weekly_cagr,weekly_bh_cagr,weekly_alpha,weekly_pyramid,weekly_scaleout,weekly_total,monthly_n,monthly_win,monthly_cagr,monthly_bh_cagr,monthly_alpha,monthly_pyramid,monthly_scaleout,monthly_total
000270.KS,1.0,쌍바닥,daily,69,40.58,-8.99,15.18,-24.18,52,21,-38.02,13,53.85,8.11,15.18,-7.06,3,1,48.62,0,0,0,17.93,0,0,0,0
001040.KS,1.0,삼중바닥,weekly,48,41.67,2.75,16.67,-13.92,43,13,14.75,11,27.27,-8.64,16.66,-25.3,6,3,-36.82,1,0.0,-1.03,17.09,-18.12,0,0,-5.12
001440.KS,1.0,쌍바닥,daily,70,28.57,-9.03,43.77,-52.8,60,24,-38.16,9,33.33,-6.34,43.74,-50.08,6,3,-28.31,0,0,0,45.03,0,0,0,0
001450.KS,1.0,삼중바닥,weekly,49,22.45,-10.54,6.53,-17.08,54,14,-43.19,7,28.57,-5.25,6.53,-11.78,2,0,-23.95,0,0,0,6.0,0,0,0,0
001800.KS,1.0,쌍바닥,weekly,74,40.54,-2.11,8.55,-10.66,51,11,-10.24,8,62.5,-0.54,8.55,-9.09,18,8,-2.72,0,0,0,6.98,0,0,0,0
003300.KS,1.0,쌍바닥,weekly,56,37.5,-6.83,8.11,-14.94,27,4,-30.16,9,22.22,-3.61,8.1,-11.72,4,3,-17.04,0,0,0,6.9,0,0,0,0
003495.KS,1.0,삼중바닥,weekly,122,31.15,-5.26,-9.39,4.12,70,16,-23.99,10,10.0,-5.29,-9.38,4.09,5,0,-24.13,0,0,0,-9.37,0,0,0,0
003555.KS,1.0,삼중바닥,weekly,79,31.65,-7.98,3.73,-11.71,48,22,-34.42,8,12.5,-2.88,3.73,-6.62,6,4,-13.81,1,100.0,1.26,0.8,0.47,0,0,6.59
003650.KS,1.0,삼중바닥,weekly,90,34.44,-6.88,7.93,-14.82,27,6,-30.37,5,20.0,-0.07,7.93,-8.0,9,5,-0.36,1,0.0,-0.59,8.21,-8.79,0,0,-2.96
004150.KS,1.0,삼중바닥,weekly,47,31.91,1.18,-1.79,2.97,41,17,6.11,8,12.5,-1.61,-1.79,0.18,5,0,-7.91,0,0,0,-3.27,0,0,0,0
