ticker,action,book_score,last_close,as_of,top_pattern,top_pattern_tf,top_pattern_conf,n_patterns,trend_signal,bt_n_trades,bt_win_rate,bt_avg_gain_winners,bt_avg_loss_losers,bt_total_return,bt_avg_return,bt_buy_and_hold,bt_max_drawdown,bt_in_market_pct
000270.KS,STRONG_BUY,1.0,178100.0,2026-05-14,쌍바닥,daily,0.95,2,BUY,5,60.0,36.48,-9.6,89.37,18.05,104.95,-11.45,54.1
001040.KS,STRONG_BUY,1.0,213000.0,2026-05-14,삼중바닥,weekly,0.87,3,BUY,4,50.0,53.88,-16.16,60.25,18.86,118.69,-18.79,54.1
001440.KS,STRONG_BUY,1.0,65500.0,2026-05-14,쌍바닥,daily,0.85,3,BUY,4,25.0,412.52,-16.85,193.12,90.49,531.39,-22.67,30.4
001450.KS,BUY,1.0,32750.0,2026-05-14,삼중바닥,weekly,0.87,7,HOLD,6,16.7,23.82,-6.83,-13.37,-1.72,37.89,-11.79,40.5
001800.KS,STRONG_BUY,1.0,24800.0,2026-05-14,쌍바닥,weekly,0.85,7,BUY,6,33.3,27.89,-2.38,41.96,7.71,51.68,-3.38,52.4
003300.KS,STRONG_BUY,1.0,17880.0,2026-05-14,쌍바닥,weekly,0.75,5,BUY,7,42.9,6.12,-5.44,-5.47,-0.49,48.55,-16.15,54.1
003495.KS,BUY,1.0,23800.0,2026-05-14,삼중바닥,weekly,0.77,10,HOLD,5,0.0,0.0,-4.07,-19.01,-4.07,-39.36,-8.65,16.9
003555.KS,STRONG_BUY,1.0,76000.0,2026-05-14,삼중바닥,weekly,0.87,7,BUY,7,42.9,4.77,-4.75,-5.45,-0.67,20.45,-4.95,37.2
003650.KS,STRONG_BUY,1.0,121400.0,2026-05-14,삼중바닥,weekly,0.97,5,BUY,3,33.3,57.77,-4.54,43.73,16.23,47.33,-6.12,62.5
004150.KS,BUY,1.0,3800.0,2026-05-14,삼중바닥,weekly,0.87,4,HOLD,7,28.6,20.33,-6.29,4.08,1.31,-8.76,-10.71,33.8
005387.KS,STRONG_BUY,1.0,286000.0,2026-05-14,삼중바닥,daily,0.77,3,BUY,4,75.0,44.42,-11.15,149.91,30.53,167.29,-11.15,54.1
005430.KS,STRONG_BUY,1.0,72400.0,2026-05-14,삼중바닥,weekly,0.77,7,BUY,7,14.3,15.04,-6.07,-21.42,-3.05,76.8,-10.37,33.8
005720.KS,STRONG_BUY,1.0,7130.0,2026-05-14,역H&S,weekly,0.8,4,BUY,5,60.0,17.79,-2.4,47.15,9.72,43.75,-3.5,55.8
005740.KS,BUY,1.0,7340.0,2026-05-14,역H&S,weekly,0.95,8,HOLD,4,50.0,6.11,-14.53,-19.04,-4.21,-36.45,-24.81,30.4
007610.KS,STRONG_BUY,1.0,11730.0,2026-05-14,삼중바닥,weekly,0.87,2,BUY,1,100.0,291.0,0.0,291.0,291.0,206.67,0.0,72.6
010280.KQ,STRONG_BUY,1.0,6920.0,2026-05-14,쌍바닥,weekly,0.85,4,BUY,7,14.3,16.5,-12.03,-46.17,-7.96,13.44,-15.34,27.0
014440.KS,STRONG_BUY,1.0,4725.0,2026-05-14,쌍바닥,weekly,0.75,8,BUY,7,14.3,28.79,-6.78,-18.16,-1.7,7.63,-26.75,45.6
017670.KS,STRONG_BUY,1.0,102700.0,2026-05-14,역H&S,weekly,0.95,3,BUY,4,50.0,28.58,-5.32,46.65,11.63,97.1,-6.24,43.9
019180.KS,STRONG_BUY,1.0,8030.0,2026-05-14,쌍봉,weekly,0.75,5,BUY,6,16.7,64.04,-10.03,-3.49,2.32,132.42,-13.57,28.7
019210.KQ,STRONG_BUY,1.0,17380.0,2026-05-14,삼중바닥,weekly,0.87,3,BUY,5,20.0,93.76,-11.72,17.58,9.38,93.97,-13.05,22.0
025820.KS,STRONG_BUY,1.0,6540.0,2026-05-14,삼중바닥,weekly,0.87,2,BUY,6,50.0,8.33,-11.03,-10.85,-1.35,92.92,-12.48,25.3
030200.KS,STRONG_BUY,1.0,61600.0,2026-05-14,삼중바닥,daily,0.87,4,BUY,2,100.0,35.07,0.0,79.21,35.07,116.52,0.0,50.7
032640.KS,STRONG_BUY,1.0,16600.0,2026-05-14,삼중바닥,weekly,0.87,6,BUY,4,50.0,28.6,-6.73,36.82,10.93,26.24,-8.93,35.5
034950.KQ,STRONG_BUY,1.0,105800.0,2026-05-14,삼중바닥,weekly,0.77,7,BUY,3,66.7,19.47,-3.34,35.4,11.86,20.09,-3.34,67.6
036170.KQ,STRONG_BUY,1.0,7080.0,2026-05-14,쌍바닥,weekly,0.85,2,BUY,5,20.0,372.0,-9.49,214.17,66.81,273.61,-16.37,25.3
036830.KQ,STRONG_BUY,1.0,62200.0,2026-05-14,역H&S,weekly,0.8,3,BUY,4,25.0,121.29,-14.77,35.94,19.24,43.15,-22.92,47.3
036930.KQ,STRONG_BUY,1.0,168000.0,2026-05-14,쌍바닥,weekly,0.95,3,BUY,3,66.7,191.81,-2.05,605.69,127.19,1177.57,-2.05,42.2
039740.KQ,BUY,1.0,4295.0,2026-05-14,삼중바닥,weekly,0.87,4,HOLD,5,20.0,50.44,-9.2,1.34,2.73,16.55,-18.82,32.1
041830.KQ,STRONG_BUY,1.0,46050.0,2026-05-14,삼중바닥,daily,0.87,3,BUY,5,40.0,35.08,-9.47,31.74,8.35,107.9,-14.64,35.5
051360.KQ,STRONG_BUY,1.0,18530.0,2026-05-14,삼중바닥,weekly,0.77,5,BUY,4,75.0,22.46,-8.77,59.98,14.65,131.62,-8.77,42.2
